,AutoEncoder (AE),CBLOF,COPOD,DeepAnT,DenoisingAutoEncoder (DAE),HBOS,Hybrid KNN,LOF,PCC,RobustPCA,Random Black Forest (RR),Torsk
OBSEA/2023-03-22.out,0.959183156654888,0.9862550058892816,0.9186453474676088,0.25665382803298,0.902426030624264,0.5713614840989399,0.7411665488810365,0.9989802120141342,0.988704593639576,0.7478718492343934,0.8322188457008244,0.8511272849462366
OBSEA/2022-05-16.out,0.509201572298348,0.6213269707143244,0.5955263083192429,0.2452632586092046,0.3139394795186894,0.664268176940824,0.5438690476190476,0.1527787274064371,0.9789946646341464,0.6173076723859522,0.0838554042970813,0.0157453001298795
OBSEA/2022-02-06.out,0.8871403935185185,0.9895327546296296,0.9191879629629628,0.92937899543379,0.9399337962962964,0.6078761574074074,0.741567361111111,0.9989858796296296,0.9983141203703704,0.565010648148148,0.814505773955774,0.8531830039525692
OBSEA/2020-11-03.out,0.1798685972465784,0.375253274147695,0.2743407776972835,0.2321093690111272,0.3315659236168573,0.3437476941829803,0.1545030376203019,0.375253274147695,0.2665932653973683,0.2461445964836005,0.4974784594168379,0.5564110123541316
OBSEA/2023-02-06.out,0.0242010822613786,0.1862305545133702,0.0633823990457679,0.0195113507256246,0.0144608649621012,0.2552393192130525,0.0248052540267983,0.0467979069448502,0.2752790047162597,0.015154940066833,0.0267127894880815,0.2971983067340216
OBSEA/2020-03-16.out,0.924729050925926,0.9883260416666668,0.9177630787037038,0.9207410139327948,0.8866063657407408,0.5139112268518519,0.741096412037037,0.999,0.9941576388888888,0.6424012731481481,0.7504760442260442,0.7991222661396575
OBSEA/2020-06-04.out,0.0588394263630768,0.1981233869805039,0.0828137330163074,0.0372890826145163,0.0352011066011372,0.1245227656942857,0.0339787190514387,0.1981233869805039,0.0817529097668812,0.0316948155489437,0.0383262025299599,0.141589884543368
OBSEA/2020-12-03.out,0.9282632688928616,0.9369714951976827,0.9194439599552588,0.9647193652594716,0.9399331549615724,0.9095563993883748,0.9708520242148928,0.9369714951976827,0.9303307630739336,0.9983685246474588,0.9456258231690716,0.9852108362931904
OBSEA/2020-10-03.out,0.8010850523806914,0.684449387000267,0.4621283795128253,0.2518895168665332,0.7933362488763669,0.5599284670219417,0.5950535967971071,0.684449387000267,0.4432791425101841,0.0952456667523247,0.6773488592353499,0.2837906432508617
OBSEA/2022-01-27.out,0.8652026224641266,0.9867152399802078,0.919284017812964,0.9215188942429622,0.8858777832756062,0.6852100445324097,0.7410049480455221,0.9989883720930232,0.9236140524492824,0.717409203364671,0.6693554488989271,0.8611493983957219
OBSEA/2022-07-01.out,0.0737769586320781,0.3075978968236015,0.175118908963328,0.1606866091456492,0.0761635879242273,0.2112234870345583,0.1768306541573275,0.0928188886100774,0.163100616992059,0.1205956236067386,0.0913201187947613,0.2983378868037743
OBSEA/2021-10-06.out,0.1216325333047934,0.1360487981874074,0.130011134826342,0.1822329764507947,0.1218127119739043,0.1280287202770833,0.1328448062771482,0.1370925583513632,0.1335859545556088,0.1783979425283949,0.2080016217595355,0.1153274037934218
OBSEA/2023-03-28.out,0.9753153864278982,0.9762421065032988,0.92035438265787,0.922566098462272,0.9391414938737042,0.5521211121583411,0.7415385249764374,0.999,0.9989790292177192,0.7511903864278983,0.8709079869804708,0.999
OBSEA/2021-10-05.out,0.1236053213187166,0.1230456351169614,0.1411736457682314,0.119987569791902,0.1036753061741028,0.11165882872906,0.1532812868674538,0.2170279452417621,0.1238486993024714,0.1933399815213322,0.0785310889485705,0.0467849104918817
OBSEA/2023-02-24.out,0.912609462519366,0.9802039089500656,0.9177716601120248,0.9244644235407624,0.930929567393636,0.5300787748778453,0.7411349064473841,0.9989870098915504,0.994506375878918,0.4713880347991896,0.7915314915726778,0.999
OBSEA/2021-09-28.out,0.8223574074074075,0.9860954861111112,0.918177199074074,0.932813487881981,0.9041854166666669,0.6463915509259259,0.7414037037037038,0.9989934027777776,0.999,0.8723379629629631,0.6696461916461917,0.7720158102766799
OBSEA/2023-08-08.out,0.3298185196249243,0.2967769459655419,0.2894859341554526,0.0867225013944058,0.3376346552363878,0.2639189556953308,0.0929757745330419,0.2967769459655419,0.3742974142180985,0.04906901312516,0.4566583412170434,0.1802366291259077
OBSEA/2020-09-28.out,0.963065162037037,0.9831292824074074,0.917925,0.9364214963119072,0.945775925925926,0.6438034722222221,0.7411152777777779,0.999,0.991058101851852,0.8035299768518519,0.9146902948402948,0.8426484848484849
OBSEA/2020-10-06.out,0.5697076050829262,0.4504096663366378,0.1379154676864774,0.1153500685218534,0.4191641710851935,0.3956787599286147,0.1448867831790794,0.4504096663366378,0.2546194009303067,0.153266266725894,0.2233343241793432,0.3192648501679312
OBSEA/2020-11-01.out,0.6773599800041816,0.6534630326850911,0.7527893456653738,0.3591069025920474,0.5264929948151308,0.737262505587735,0.6595957075118543,0.6534630326850911,0.6090388692004377,0.2161456970541484,0.6714996952109145,0.6352836890249316
OBSEA/2022-09-10.out,0.4414496231160335,0.6416953794965052,0.2277036509801884,0.2451274424138708,0.3556376440208653,0.5756066018548761,0.6051673944687045,0.2668109535590622,0.2154052707137031,0.2173916017228129,0.2501692762766243,0.4213917073138271
OBSEA/2023-01-02.out,0.974434375,0.9799028935185186,0.918893287037037,0.2561239583333333,0.9140018518518518,0.5210415509259259,0.741342824074074,0.999,0.9989974537037036,0.6894315972222222,0.8317800925925926,0.999
