,AutoEncoder (AE),CBLOF,COPOD,DeepAnT,DenoisingAutoEncoder (DAE),HBOS,Hybrid KNN,LOF,PCC,RobustPCA,Random Black Forest (RR),Torsk
OBSEA/2020-11-03.out,0.1798685972465784,0.375253274147695,0.2743407776972835,0.2321093690111272,0.3315659236168573,0.3437476941829803,0.1545030376203019,0.375253274147695,0.2665932653973683,0.2461445964836005,0.4974784594168379,0.5564110123541316
OBSEA/2020-03-16.out,0.918715625,0.9864961805555555,0.91733125,0.917366116379815,0.8866063657407408,0.5301498842592592,0.7446658564814815,0.999,0.9941583333333333,0.636384375,0.74317371007371,0.7991222661396575
OBSEA/2020-06-04.out,0.0588394263630768,0.1981233869805039,0.0828137330163074,0.0372890826145163,0.0352011066011372,0.1245227656942857,0.0339787190514387,0.1981233869805039,0.0817529097668812,0.0316948155489437,0.0383262025299599,0.141589884543368
OBSEA/2020-12-03.out,0.9282632688928616,0.9369714951976827,0.9194439599552588,0.9647193652594716,0.9399331549615724,0.9095563993883748,0.974519924995813,0.9369714951976827,0.9303307630739336,0.9983685246474588,0.9456258231690716,0.9852108362931904
OBSEA/2020-10-03.out,0.8010850523806914,0.684449387000267,0.4621283795128253,0.2518895168665332,0.7933362488763669,0.5599284670219417,0.5950535967971071,0.684449387000267,0.4432791425101841,0.0952456667523247,0.6773488592353499,0.2837906432508617
OBSEA/2021-10-06.out,0.1216325333047934,0.1360487981874074,0.130011134826342,0.1822329764507947,0.1218127119739043,0.1280287202770833,0.1328448062771482,0.1370925583513632,0.1335859545556088,0.1783979425283949,0.2080016217595355,0.1153274037934218
OBSEA/2021-10-05.out,0.1236053213187166,0.1230456351169614,0.1411736457682314,0.119987569791902,0.1036753061741028,0.11165882872906,0.1532812868674538,0.2170279452417621,0.1238486993024714,0.1933399815213322,0.0785310889485705,0.0467849104918817
OBSEA/2021-09-28.out,0.8081035879629629,0.9838844907407408,0.9177619212962964,0.9299523475002928,0.9041854166666669,0.6669291666666667,0.7450152777777778,0.996942361111111,0.999,0.8751871527777778,0.6599755528255528,0.7720158102766799
OBSEA/2020-09-28.out,0.9601236111111112,0.9804310185185184,0.9174910879629627,0.9337157241540802,0.945775925925926,0.6642297453703703,0.7450172453703704,0.9989997685185186,0.9910585648148148,0.8037246527777778,0.9122050368550368,0.8426484848484849
OBSEA/2020-10-06.out,0.5697076050829262,0.4504096663366378,0.1379154676864774,0.1153500685218534,0.4191641710851935,0.3956787599286147,0.147133509068605,0.4504096663366378,0.2546194009303067,0.153266266725894,0.2233343241793432,0.3192648501679312
OBSEA/2020-11-01.out,0.6773599800041816,0.6534630326850911,0.7527893456653738,0.3591069025920474,0.5264929948151308,0.737262505587735,0.6595957075118543,0.6534630326850911,0.6090388692004377,0.2161456970541484,0.6714996952109145,0.6352836890249316
OBSEA/2021-02-09.out,0.9629274053490796,0.9885758944077804,0.9184924163482692,0.9273752635277585,0.9669560032418664,0.5958630311450736,0.7448449693180503,0.9968904712284358,0.9981735556327428,0.4218193817297672,0.8914247265576993,0.8009914327138526
OBSEA/2021-01-06.out,0.4559761700268278,0.5283189971582883,0.5860839035317136,0.4269605885485616,0.6345024949704847,0.5801784346318475,0.6700488538143555,0.3486258225057476,0.6221847746815485,0.3291596236947625,0.5571543805584206,0.7774951799207217
OBSEA/2021-01-25.out,0.39632235217719,0.3930862161608566,0.3467527721256133,0.2621362390812412,0.3564314995771438,0.3509418319813481,0.6206814391231832,0.3738007810803441,0.3234518014557351,0.2206338253756431,0.4385427138983208,0.7268397866392968
OBSEA/2021-10-21.out,0.1810827989493791,0.2182543493632524,0.1055051254347704,0.1021251318823313,0.1150166856818449,0.2077624331004097,0.0424217208857786,0.0663458071739947,0.1799640230500172,0.0369552107494981,0.1472640642600067,0.1293277607406871
OBSEA/2020-03-04.out,0.9805561342592592,0.9887986111111112,0.9174875,0.9173102681184874,0.931659375,0.6040880787037037,0.7444262731481482,0.999,0.9736421296296296,0.665705787037037,0.8487600737100737,0.7548798418972333
OBSEA/2021-08-20.out,0.1091706836498946,0.1047177752337917,0.1156040094925435,0.0602961510555208,0.1493018873812118,0.087069384875432,0.531706448165301,0.0656852977468446,0.131408688209796,0.0363119094357156,0.0765017259827565,0.0327089731246846
OBSEA/2020-08-06.out,0.435090739669835,0.5464253137405282,0.3680453787138646,0.0601064223647259,0.3688005157239231,0.4916558167369426,0.0637076691047252,0.0758788045475729,0.5008971319816355,0.2282507267018717,0.474757611435037,0.6227582506364187
OBSEA/2020-10-15.out,0.0851170412820248,0.1594713921970325,0.1045261114078671,0.0890955536052557,0.0825346906500959,0.160351382194866,0.5614684466019417,0.1594713921970325,0.1139269516800474,0.1577625660276632,0.0920051803254984,0.6882112456089104
OBSEA/2020-02-21.out,0.9553361111111112,0.9773729166666668,0.9182938657407408,0.921125746399719,0.9580570601851852,0.5628012731481482,0.744812962962963,0.999,0.998876736111111,0.5881530092592592,0.843350737100737,0.8422142292490119
OBSEA/2020-09-11.out,0.963861574074074,0.9815885416666666,0.9169081018518518,0.9360845334269992,0.9751319444444444,0.5913958333333333,0.7443225694444444,0.9989998842592592,0.9814600694444444,0.5242037037037037,0.9276298525798524,0.7897422924901185
OBSEA/2021-01-16.out,0.5552417704204244,0.5301751191607348,0.5884834438621482,0.4812073099227276,0.5723541988102168,0.5387737717285939,0.4925436804991073,0.4562553208948458,0.568126274262418,0.4109485393390039,0.5040611155879886,0.7801877533971063
